Table FLE0100a: UK Ship Register annual statistics and commercial data comparison: 2003 to 2025 [note 8],,,,,,,,,,,,,,,,,,,,,
"This worksheet contains one table. Notes are used throughout, use the notes tab to find the related note text.",,,,,,,,,,,,,,,,,,,,,
Number of vessels are in absolute numbers. Gross tonnage and deadweight tonnage are in million tonnes.,,,,,,,,,,,,,,,,,,,,,
MCA refers to the Maritime and Coastguard Agency UK Ship Register [note 1].,,,,,,,,,,,,,,,,,,,,,
"WF refers to commercially procured world shipping fleet data, counts all vessels of 100 gross tonnes and over, excluding fishing vessels, filtered for UK flagged in this table [note 2].",,,,,,,,,,,,,,,,,,,,,
"Shorthand is used in this table, [b] is used to show changes in data source and methodologies.",,,,,,,,,,,,,,,,,,,,,
At year end,MCA all merchant vessels [note 6],MCA all merchant gross tonnage [note 6],WF All UK flagged vessels,WF All UK flagged gross tonnage,WF All UK flagged deadweight tonnage,WF UK flagged trading vessels [note 7],WF UK flagged trading gross tonnage [note 7],WF UK flagged trading deadweight tonnage [note 7],,,,,,,,,,,,,
2003,"1,419",10.89,"1,343",11.36,11.40,587,9.97,9.83,,,,,,,,,,,,,
2004,"1,404",11.41,"1,406",11.59,12.05,597,10.25,10.52,,,,,,,,,,,,,
2005,"1,438",12.02,"1,443",12.24,13.12,608,10.91,11.59,,,,,,,,,,,,,
2006,"1,456",12.76,"1,480",13.01,14.20,629,11.54,12.35,,,,,,,,,,,,,
2007,"1,481",13.87,"1,518",13.86,14.54,646,12.53,13.01,,,,,,,,,,,,,
2008,"1,550",15.89,"1,578",15.55,16.62,675,14.16,15.01,,,,,,,,,,,,,
2009,"1,553",17.46,"1,549",17.80,18.89,712,16.41,17.30,,,,,,,,,,,,,
2010,"1,503",17.46,"1,520",17.75,18.41,664,16.11,16.65,,,,,,,,,,,,,
2011,"1,469",17.90,"1,521",18.35,19.64,643,16.64,17.74,,,,,,,,,,,,,
2012,"1,401",17.56,"1,450",17.85,19.26,577,16.25,17.61,,,,,,,,,,,,,
2013,"1,360",14.97,"1,392",15.27,16.92,500,13.62,15.19,,,,,,,,,,,,,
2014,"1,327",13.76,"1,361",13.93,14.22,453,12.34,12.64,,,,,,,,,,,,,
2015,"1,330",14.80,"1,385",15.06,15.25,457,13.48,13.67,,,,,,,,,,,,,
2016,"1,328",15.17,"1,365",15.36,15.95,452,13.84,14.43,,,,,,,,,,,,,
2017,"1,317",16.22,"1,356",16.40,16.76,441,14.77,15.18,,,,,,,,,,,,,
2018,"1,306",16.01,"1,332",16.43,17.10,429,14.51,15.33,,,,,,,,,,,,,
2019,"1,177",10.52,"1,278",11.00,11.29,349,9.07,9.55,,,,,,,,,,,,,
2020,"1,134",10.02,"1,242",10.61,11.03,328,8.68,9.39,,,,,,,,,,,,,
2021,"1,091",10.23,"1,199",10.84,11.11,316,8.94,9.54,,,,,,,,,,,,,
"2022 [b] [note 3, 4]","1,063",10.31,613,10.20,11.10,281,9.16,9.79,,,,,,,,,,,,,
2023,"1,054",10.37,"1,226",11.03,11.59,311,9.20,9.74,,,,,,,,,,,,,
2024,"1,054",9.90,"1,228",10.52,11.10,286,8.76,9.49,,,,,,,,,,,,,
2025,"1,034",8.68,"1,231",9.09,10.32,291,7.53,8.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
